"","country","year","population","pnotified","num_tb_cases","ir_tb","Wpop","CWpop","ridit","Whealth","CWhealth","logridit","Wi","XiWi","YiWi","predict2005","qpnotified","wpop2005","wrate"
"164","Guatemala ",2005,13000000,0.417439024,8200,65,0.0243798382855696,0.0243798382855696,0.0121899191427848,0.0288854445540369,0.0288854445540369,-1.91399917510015,3605.55127546399,-6901.02216701936,234360.832905159,84.2977307353214,"Q1",0.282608695652174,18.3695652173913
"130","Ecuador",2005,13000000,0.437090909,11000,83,0.0243798382855696,0.0487596765711391,0.0365697574283543,0.0387487670846837,0.0676342116387206,-1.43687792038048,3605.55127546399,-5180.7370185139,299260.755863511,74.1933590140746,"Q1",0.282608695652174,23.4565217391304
"198","Honduras",2005,7000000,0.546393443,6100,89,0.0131276052306913,0.0618872818018304,0.0553234791864848,0.0214879526560519,0.0891221642947724,-1.25709051576484,2645.75131106459,-3325.94888021168,235471.866684749,70.3858598740456,"Q1",0.152173913043478,13.5434782608696
"96","Costa Rica",2005,4000000,0.56,1000,23,0.00750148870325217,0.0693887705050826,0.0656380261534565,0.0035226151895167,0.0926447794842891,-1.18284448739273,2000,-2365.68897478545,46000,68.8134933905217,"Q1",0.0869565217391304,2
"181","Haiti",2005,9000000,0.57376,25000,272,0.0168783495823174,0.0862671200874,0.0778279452962413,0.0880653797379174,0.180710159222207,-1.10886443503091,3000,-3326.59330509273,816000,67.2467596899652,"Q1",0.195652173913043,53.2173913043478
"79","Colombia",2005,43000000,0.609411765,17000,38,0.0806410035599609,0.166908123647361,0.12658762186738,0.0598844582217838,0.24059461744399,-0.897608758911977,6557.438524302,-5886.0142554403,249182.663923476,62.7728322373238,"Q2",0.595341183871388,22.6229649871127
"113","Dominican Republic",2005,9000000,0.698947368,7600,82,0.0168783495823174,0.183786473229678,0.17534729843852,0.0267718754403269,0.267366492884317,-0.756100920870484,3000,-2268.30276261145,246000,59.7760095577696,"Q2",0.124606294298663,10.2177161324903
"28","Bolivia",2005,9000000,0.712357143,14000,158,0.0168783495823174,0.200664822811996,0.192225648020837,0.0493166126532338,0.316683105537551,-0.716188666351228,3000,-2148.56599905369,474000,58.9307563817556,"Q2",0.124606294298663,19.6877944991887
"232","Nicaragua",2005,5000000,0.715862069,2900,53,0.00937686087906522,0.210041683691061,0.205353253251528,0.0102155840495984,0.32689868958715,-0.687498412566864,2236.06797749979,-1537.2931849227,118511.602807489,58.3231603332743,"Q2",0.0692257190548125,3.66896310990506
"147","El Salvador",2005,6227491,0.7625,2400,39,0.0116788633465261,0.221720547037587,0.215881115364324,0.00845427645484007,0.33535296604199,-0.665785346789333,2495.49413944413,-1661.46343104056,97324.2714383211,57.863325677715,"Q2",0.0862205084764747,3.36259983058251
"334","Venezuela",2005,27000000,0.772222222,9000,34,0.0506350487469522,0.272355595784539,0.247038071411063,0.0317035367056503,0.36705650274764,-0.607236111802594,5196.15242270663,-3155.291393498,176669.182372025,56.6233825218641,"Q3",0.303370786516854,10.314606741573
"62","Chile",2005,16000000,0.797878788,3300,20,0.0300059548130087,0.302361550597548,0.287358573191044,0.0116246301254051,0.378681132873045,-0.541575841390834,4000,-2166.30336556334,80000,55.2328433811422,"Q3",0.179775280898876,3.59550561797753
"11","Argentina",2005,39000000,0.802769231,13000,33,0.0731395148567087,0.375501065454257,0.338931308025902,0.0457939974637171,0.424475130336762,-0.469888312322618,6244.9979983984,-2934.45156992555,206084.933947147,53.7146602477822,"Q3",0.438202247191011,14.4606741573034
"266","Paraguay",2005,6000000,0.809655172,2900,49,0.0112522330548783,0.386753298509135,0.381127181981696,0.0102155840495984,0.43469071438636,-0.418930076250971,2449.48974278318,-1026.16492472013,120024.997396376,52.6354776407749,"Q3",0.0674157303370786,3.30337078651685
"300","Trinidad and Tobago",2005,1000000,0.813636364,220,17,0.00187537217581304,0.388628670684948,0.387690984597041,0.000774975341693673,0.435465689728054,-0.411514298000478,1000,-411.514298000478,17000,52.4784278776296,"Q3",0.0112359550561798,0.191011235955056
"317","Uruguay",2005,3000000,0.823684211,760,23,0.00562611652743913,0.394254787212387,0.391441728948667,0.00267718754403269,0.438142877272087,-0.407332879020018,1732.05080756888,-705.521242055978,39837.1685740842,52.3898746822251,"Q4",0.00920245398773006,0.211656441717791
"215","Mexico",2005,106000000,0.8305,24000,22,0.198789450636183,0.59304423784857,0.493649512530478,0.0845427645484007,0.522685641820487,-0.306581287507289,10295.630140987,-3156.44754432265,226503.863101714,50.2561790606582,"Q4",0.325153374233129,7.15337423312883
"283","Peru",2005,28000000,0.902948718,39000,140,0.0525104209227652,0.645554658771335,0.619299448309952,0.137381992391151,0.660067634211639,-0.208099306872473,5291.50262212918,-1101.15802797896,740810.367098085,48.1705487720569,"Q4",0.0858895705521472,12.0245398773006
"45","Brazil",2005,186000000,0.913231579,95000,51,0.348819224701226,0.994373883472561,0.819964271121948,0.334648443004086,0.994716077215725,-0.0862050710219432,13638.1816969859,-1175.68042179883,695547.266546279,45.5890987579829,"Q4",0.570552147239264,29.0981595092025
"249","Panama",2005,3000000,1.218666667,1500,47,0.00562611652743913,1,0.99718694173628,0.00528392278427505,1,-0.00122341726113272,1732.05080756888,-2.11902085513864,81406.3879557372,43.7893754998144,"Q4",0.00920245398773006,0.432515337423313
