"","country","year","population","impsanifac","num_tb_cases","ir_tb"
"2","Argentina",2005,38647854,94.1,13000,33
"6","Bolivia",2005,9354709,41.2,15000,158
"10","Brazil",2005,186142403,77.5,95000,51
"14","Chile",2005,16337749,94.8,2800,17
"18","Colombia",2005,43184026,77.1,17000,38
"22","Costa Rica",2005,4320130,92.5,700,16
"26","Cuba",2005,11292078,89.2,1000,9.2
"30","Dominican Republic",2005,9343362,79.5,7700,82
"34","Ecuador",2005,13777131,75.5,11000,83
"38","El Salvador",2005,6072538,65.9,1900,31
"42","Guatemala",2005,12678919,75.3,8200,65
"46","Guyana",2005,760834,81.2,880,115
"50","Haiti",2005,9260879,22.6,25000,272
"54","Honduras",2005,6898825,70.5,5000,73
"58","Mexico",2005,110731826,79.7,23000,21
"62","Nicaragua",2005,5455219,50.4,2400,44
"66","Panama",2005,3365929,69.9,2100,61
"70","Paraguay",2005,5904170,69,2900,49
"74","Peru",2005,27723281,67.4,42000,150
"78","Suriname",2005,499523,80.5,310,62
"82","Trinidad and Tobago",2005,1296933,92.2,210,16
"86","Uruguay",2005,3325155,94.9,710,21
"90","Venezuela",2005,26725897,90.6,9000,34
