"","country","year","population","gni","num_tb_cases","ir_tb"
"3","Argentina",2010,40374224,9923,11000,27
"6","Bolivia",2010,10156601,4940,14000,135
"9","Brazil",2010,195210154,13510,92000,47
"12","Chile",2010,17150760,17010,2800,16
"15","Colombia",2010,46444798,10150,16000,34
"18","Costa Rica",2010,4669685,11830,600,13
"21","Cuba",2010,11281768,17660,1000,9.3
"24","Dominican Republic",2010,10016797,10520,6700,67
"27","Ecuador",2010,15001072,8990,9700,65
"30","El Salvador",2010,6218195,6910,2000,33
"33","Guatemala",2010,14341576,6510,8800,62
"36","Guyana",2010,786126,5460,870,110
"39","Haiti",2010,9896400,1490,23000,229
"42","Honduras",2010,7621204,3990,4100,53
"45","Mexico",2010,117886404,14590,24000,21
"48","Nicaragua",2010,5822209,3860,2900,49
"51","Panama",2010,3678128,15340,1900,53
"54","Paraguay",2010,6459721,6380,3000,46
"57","Peru",2010,29262830,8980,39000,132
"60","Suriname",2010,524960,13910,250,47
"63","Trinidad and Tobago",2010,1328095,27220,300,23
"66","Uruguay",2010,3371982,15540,840,25
"69","Venezuela",2010,29043283,15940,9700,33
