"","country","year","population","lexp","num_tb_cases","ir_tb","Wpop","CWpop","ridit","Whealth","CWhealth","logridit","Wi","XiWi","YiWi","predict2010","qlexp","wpop2010","wrate"
"186","Haiti",2010,10123787,62,23000,230,0.0178471198218359,0.0178471198218359,0.00892355991091794,0.0897210844548469,0.0897210844548469,-2.0494618562471,3181.78990506916,-6520.95704503131,731811.678165906,144.849890708453,"Q1",0.242278537345854,55.7240635895464
"33","Bolivia",2010,10088108,67,13000,135,0.0177842216802488,0.0356313415020847,0.0267392306619603,0.0507119173005656,0.140433001755413,-1.57285109236468,3176.17820658728,-4995.65536177571,428784.057889283,115.980787795879,"Q1",0.241424681379311,32.592331986207
"305","Trinidad and Tobago",2010,1346350,70,280,19,0.00237346654686914,0.0380048080489538,0.0368180747755193,0.00109225668031988,0.141525258435732,-1.43393892458345,1160.32323082838,-1663.83264578324,22046.1413857391,107.566647849022,"Q1",0.0322203251367883,0.612186177598978
"169","Guatemala ",2010,14000000,71,8900,62,0.0246804557924522,0.062685263841406,0.0503450359451799,0.0347181587673103,0.176243417203043,-1.29804334473097,3741.65738677394,-4856.83346916538,231982.757979984,99.335227626433,"Q1",0.335042560935148,20.7726387779792
"152","El Salvador",2010,6227491,72,1800,28,0.0109783797373853,0.0736636435787913,0.0681744537100987,0.00702165008777063,0.183265067290813,-1.16637833342506,2495.49413944413,-2910.69029543685,69873.8359044356,91.3600599436628,"Q1",0.149033895202899,4.17294906568117
"271","Paraguay",2010,6000000,72.4,3000,46,0.0105773381967652,0.0842409817755566,0.0789523126771739,0.0117027501462844,0.194967817437098,-1.10263514408223,2449.48974278318,-2700.89347546167,112676.528168026,87.4990294496728,"Q2",0.0236145590116495,1.08626971453588
"50","Brazil",2010,195000000,73,85000,46,0.34376349139487,0.428004473170427,0.256122727472992,0.331577920811391,0.526545738248488,-0.59155188198389,13964.2400437689,-8260.57247836631,642355.042013371,56.5418702570809,"Q2",0.767473167878608,35.303765722416
"203","Honduras",2010,7754687,73,3900,54,0.0136706578348431,0.44167513100527,0.434839802087848,0.0152135751901697,0.541759313438658,-0.361670710593133,2784.72386422783,-1007.15305878094,150375.088668303,42.6175871786148,"Q2",0.0305205856297285,1.64811162400534
"118","Dominican Republic",2010,10056181,73.3,6700,67,0.0177279379008141,0.459403068906084,0.450539099955677,0.0261361419933684,0.567895455432027,-0.346267512879969,3171.14821476386,-1098.06560530003,212466.930389178,41.6845899958785,"Q2",0.0395787132760547,2.65177378949566
"237","Nicaragua",2010,5869859,73.8,2400,42,0.0103479139683877,0.469750982874471,0.464577025890278,0.0093622001170275,0.577257655549054,-0.332942270592128,2422.7791892783,-806.645604421671,101756.725949688,40.8774580129392,"Q2",0.023102355290927,0.970298922218932
"288","Peru",2010,29399817,73.8,31000,106,0.0518286345553346,0.521579617429806,0.495665300152139,0.120928418178272,0.698186073727326,-0.304811483515537,5422.1598095224,-1652.73657539884,574748.939809375,39.1735296742033,"Q2",0.115710618913033,12.2653256047815
"84","Colombia",2010,46000000,74,16000,34,0.0810929261752001,0.602672543605006,0.562126080517406,0.06241466744685,0.760600741174176,-0.250166264623386,6782.32998312527,-1696.71015732164,230599.219426259,35.8635783104804,"Q3",0.345843661402936,11.7586844876998
"339","Venezuela",2010,29436891,74.3,9700,33,0.0518939919280524,0.654566535533059,0.628619539569032,0.0378388921396528,0.798439633313829,-0.201612123803449,5425.57748078488,-1093.8621987612,179044.056865901,32.9225736282861,"Q3",0.221316568777373,7.30344676965329
"16","Argentina",2010,40000000,76,11000,27,0.0705155879784349,0.725082123511493,0.689824329522276,0.0429100838697094,0.841349717183538,-0.161261492498434,6324.55532033676,-1019.90723034642,170762.993649093,30.4784690968594,"Q3",0.300733618611249,8.11980770250372
"135","Ecuador",2010,14000000,76,9400,65,0.0246804557924522,0.749762579303946,0.73742235140772,0.0366686171250244,0.878018334308563,-0.132283702984415,3741.65738677394,-494.960294421448,243207.730140306,28.7232364184268,"Q3",0.105256766513937,6.84168982340591
"254","Panama",2010,3571185,76,1700,48,0.00629560525136917,0.756058184555315,0.75291038192963,0.00663155841622781,0.88464989272479,-0.123256714303533,1889.7579210047,-232.925352172115,90708.3802082255,28.1764567714541,"Q3",0.0268493846945053,1.28877046533626
"220","Mexico",2010,113000000,76.8,25000,22,0.199206536039079,0.955264720594393,0.855661452574854,0.0975229178857031,0.982172810610493,-0.0676980324738541,10630.1458127346,-719.639956432315,233863.207880162,24.8111754455299,"Q4",0.81661496072718,17.965529135998
"322","Uruguay",2010,3380008,76.9,720,24,0.00595858128729534,0.961223301881689,0.958244011238041,0.00280866003510825,0.984981470645602,-0.0185238862863936,1838.47980679691,-34.0557908809367,44123.5153631258,21.8326160119164,"Q4",0.0244262398245801,0.586229755789923
"67","Chile",2010,17269525,79,3200,19,0.030444267737082,0.991667569618771,0.97644543575023,0.01248293348937,0.997464404134972,-0.010352020286696,4155.66180048377,-43.0194952632554,78957.5742091916,21.3376325612463,"Q4",0.124801349377452,2.37122563817158
"101","Costa Rica",2010,4726575,79,650,14,0.00833243038122927,1,0.995833784809385,0.00253559586502828,1,-0.00181314386956342,2174.06876616173,-3.94189945537545,30436.9627262643,20.8204186820718,"Q4",0.0341574500707882,0.478204300991035
