"","country","year","population","gdp","num_tb_cases","ir_tb"
"16","Argentina",2010,40000000,10485,11000,27
"33","Bolivia",2010,10088108,4350,13000,135
"50","Brazil",2010,195000000,10100,85000,46
"67","Chile",2010,17269525,14500,3200,19
"84","Colombia",2010,46000000,8480,16000,34
"101","Costa Rica",2010,4726575,10500,650,14
"118","Dominican Republic",2010,10056181,8390,6700,67
"135","Ecuador",2010,14000000,7200,9400,65
"152","El Salvador",2010,6227491,5980,1800,28
"169","Guatemala ",2010,14000000,4300,8900,62
"186","Haiti",2010,10123787,992,23000,230
"203","Honduras",2010,7754687,3520,3900,54
"220","Mexico",2010,113000000,12500,25000,22
"237","Nicaragua",2010,5869859,3250,2400,42
"254","Panama",2010,3571185,12600,1700,48
"271","Paraguay",2010,6000000,4630,3000,46
"288","Peru",2010,29399817,8560,31000,106
"305","Trinidad and Tobago",2010,1346350,23200,280,19
"322","Uruguay",2010,3380008,12600,720,24
"339","Venezuela",2010,29436891,11000,9700,33
