"","country","year","population","gdp","num_tb_cases","ir_tb"
"6","Argentina",2000,37000000,10300,15000,40
"23","Bolivia",2000,8000000,3570,15000,184
"40","Brazil",2000,174000000,7910,110000,60
"57","Chile",2000,15000000,11000,4000,26
"74","Colombia",2000,40000000,6620,17000,43
"91","Costa Rica",2000,4000000,8140,1400,35
"108","Dominican Republic",2000,9000000,5790,8600,100
"125","Ecuador",2000,12000000,5380,13000,107
"142","El Salvador",2000,6227491,5170,2200,37
"159","Guatemala ",2000,11000000,3960,7600,68
"176","Haiti",2000,9000000,1140,23000,271
"193","Honduras",2000,6000000,2890,7200,116
"210","Mexico",2000,100000000,11900,31000,31
"227","Nicaragua",2000,5000000,2770,3400,68
"244","Panama",2000,3000000,8130,1400,47
"261","Paraguay",2000,5000000,3880,2600,49
"278","Peru",2000,26000000,5540,48000,184
"295","Trinidad and Tobago",2000,1000000,13900,210,17
"312","Uruguay",2000,3000000,9610,810,24
"329","Venezuela",2000,24000000,9560,8300,34
