"","country","year","population","hexp","num_tb_cases","ir_tb","Wpop","CWpop","ridit","Whealth","CWhealth","logridit","Wi","XiWi","YiWi","predict2010","qhexp","wpop2010","wrate"
"186","Haiti",2010,10123787,75.6,23000,230,0.0178471198218359,0.0178471198218359,0.00892355991091794,0.0897210844548469,0.0897210844548469,-2.0494618562471,3181.78990506916,-6520.95704503131,731811.678165906,140.065962703075,"Q1",0.211633365450411,48.6756740535944
"33","Bolivia",2010,10088108,264,13000,135,0.0177842216802488,0.0356313415020847,0.0267392306619603,0.0507119173005656,0.140433001755413,-1.57285109236468,3176.17820658728,-4995.65536177571,428784.057889283,112.412740585777,"Q1",0.210887511468506,28.4698140482483
"237","Nicaragua",2010,5869859,276,2400,42,0.0103479139683877,0.0459792554704724,0.0408052984862785,0.0093622001170275,0.14979520187244,-1.38928344097998,2422.7791892783,-3365.92700881523,101756.725949688,101.762043157247,"Q1",0.122706850202338,5.15368770849821
"169","Guatemala ",2010,14000000,327,8900,62,0.0246804557924522,0.0706597112629246,0.0583194833666985,0.0347181587673103,0.18451336063975,-1.23418633194635,3741.65738677394,-4617.90240558251,231982.757979984,92.7632224614649,"Q1",0.292663912852547,18.1451625968579
"203","Honduras",2010,7754687,340,3900,54,0.0136706578348431,0.0843303690977677,0.0774950401803462,0.0152135751901697,0.19972693582992,-1.11072609221932,2784.72386422783,-3093.06545562366,150375.088668303,85.5999905528609,"Q1",0.162108360026198,8.75385144141472
"152","El Salvador",2010,6227491,456,1800,28,0.0109783797373853,0.095308748835153,0.0898195589664604,0.00702165008777063,0.206748585917691,-1.04662908174829,2495.49413944413,-2611.85673967464,69873.8359044356,81.881046286534,"Q2",0.0637517257394441,1.78504832070443
"288","Peru",2010,29399817,463,31000,106,0.0518286345553346,0.147137383390488,0.12122306611282,0.120928418178272,0.327677004095963,-0.916414735512954,5422.1598095224,-4968.94714775244,574748.939809375,74.3259373545151,"Q2",0.300970177263017,31.9028387898798
"271","Paraguay",2010,6000000,493,3000,46,0.0105773381967652,0.157714721587253,0.15242605248887,0.0117027501462844,0.339379754242247,-0.816940797529395,2449.48974278318,-2001.08810400936,112676.528168026,68.5544040397108,"Q2",0.0614228674817297,2.82545190415957
"118","Dominican Republic",2010,10056181,509,6700,67,0.0177279379008141,0.175442659488067,0.16657869053766,0.0261361419933684,0.365515896235615,-0.778380556193483,3171.14821476386,-2468.36011117986,212466.930389178,66.3171173492624,"Q2",0.102946578822548,6.89742078111072
"84","Colombia",2010,46000000,614,16000,34,0.0810929261752001,0.256535585663267,0.215989122575667,0.06241466744685,0.427930563682465,-0.665568119794976,6782.32998312527,-4514.10261469778,230599.219426259,59.7716769233909,"Q2",0.470908650693261,16.0108941235709
"135","Ecuador",2010,14000000,635,9400,65,0.0246804557924522,0.281216041455719,0.268875813559493,0.0366686171250244,0.46459918080749,-0.570448262522234,3741.65738677394,-2134.42195523868,243207.730140306,54.2527697977899,"Q3",0.0394569707346436,2.56470309775184
"339","Venezuela",2010,29436891,642,9700,33,0.0518939919280524,0.333110033383772,0.307163037419745,0.0378388921396528,0.502438072947143,-0.512631046487053,5425.57748078488,-2781.31946177134,179044.056865901,50.8981827041188,"Q3",0.0829636104789924,2.73779914580675
"220","Mexico",2010,113000000,962,25000,22,0.199206536039079,0.53231656942285,0.432713301403311,0.0975229178857031,0.599960990832846,-0.363799754588029,10630.1458127346,-3867.24443790783,233863.207880162,42.262908210185,"Q3",0.318474120929623,7.00643066045172
"50","Brazil",2010,195000000,1010,85000,46,0.34376349139487,0.87608006081772,0.704198315120285,0.331577920811391,0.931538911644236,-0.152305018366712,13964.2400437689,-2126.82383634341,642355.042013371,29.9918657567453,"Q3",0.549579235232536,25.2806448206967
"322","Uruguay",2010,3380008,1130,720,24,0.00595858128729534,0.882038642105015,0.879059351461368,0.00280866003510825,0.934347571679345,-0.0559818016702717,1838.47980679691,-102.921411918904,44123.5153631258,24.4031390467953,"Q3",0.00952606262420438,0.228625502980905
"67","Chile",2010,17269525,1190,3200,19,0.030444267737082,0.912482909842098,0.897260775973556,0.01248293348937,0.946830505168715,-0.0470813171488046,4155.66180048377,-195.654031191749,78957.5742091916,23.8867279749622,"Q4",0.258086786048912,4.90364893492933
"101","Costa Rica",2010,4726575,1200,650,14,0.00833243038122927,0.920815340223327,0.916649125032712,0.00253559586502828,0.949366101033743,-0.0377968717705526,2174.06876616173,-82.1729983749786,30436.9627262643,23.3480392802519,"Q4",0.0706369486577736,0.98891728120883
"254","Panama",2010,3571185,1220,1700,48,0.00629560525136917,0.927110945474696,0.923963142849011,0.00663155841622781,0.955997659449971,-0.034345352564036,1889.7579210047,-64.904402057586,90708.3802082255,23.1477802124909,"Q4",0.0533700642626873,2.56176308460899
"16","Argentina",2010,40000000,1320,11000,27,0.0705155879784349,0.997626533453131,0.962368739463913,0.0429100838697094,0.99890774331968,-0.016658492587185,6324.55532033676,-105.357557921071,170762.993649093,22.1215787404275,"Q4",0.597785488712428,16.1402081952355
"305","Trinidad and Tobago",2010,1346350,1620,280,19,0.00237346654686914,1,0.998813266726565,0.00109225668031988,1,-0.000515697770554195,1160.32323082838,-0.598376103260434,22046.1413857391,21.1849647894082,"Q4",0.0201207123181994,0.382293534045789
