"","country","year","population","pnotified","num_tb_cases","ir_tb","Wpop","CWpop","ridit","Whealth","CWhealth","logridit","Wi","XiWi","YiWi","predict2000","qpnotified","wpop2000","wrate"
"159","Guatemala ",2000,11000000,0.383289474,7600,68,0.0220782678569618,0.0220782678569618,0.0110391339284809,0.0237707994495183,0.0237707994495183,-1.95706499769703,3316.6247903554,-6490.85028769879,225530.485744167,76.5782609605719,"Q1",0.244444444444444,16.6222222222222
"91","Costa Rica",2000,4000000,0.417857143,1400,35,0.00802846103889518,0.0301067288958569,0.0260924983764093,0.00437883147754285,0.0281496309270612,-1.58348433488443,2000,-3166.96866976887,70000,73.2999519834403,"Q1",0.0888888888888889,3.11111111111111
"176","Haiti",2000,9000000,0.457826087,23000,271,0.0180640373375142,0.0481707662333711,0.039138747564614,0.0719379457024897,0.100087576629551,-1.40739307582875,3000,-4222.17922748626,813000,71.7546858258976,"Q1",0.2,54.2
"125","Ecuador",2000,12000000,0.552923077,13000,107,0.0240853831166855,0.0722561493500566,0.0602134577917139,0.040660578005755,0.140748154635306,-1.22030643247161,3464.10161513775,-4227.26548368789,370658.87281974,70.1129310899818,"Q1",0.266666666666667,28.5333333333333
"108","Dominican Republic",2000,9000000,0.615232558,8600,100,0.0180640373375142,0.0903201866875708,0.0812881680188137,0.0268985362191918,0.167646690854498,-1.0899726639766,3000,-3269.91799192981,3e+05,68.9692038957964,"Q1",0.2,20
"210","Mexico",2000,100000000,0.624129032,31000,31,0.20071152597238,0.29103171265995,0.190675949673761,0.0969598398598774,0.264606530714375,-0.719704081902423,10000,-7197.04081902423,310000,65.7199596564806,"Q2",0.601585209512667,18.6491414948927
"74","Colombia",2000,40000000,0.684117647,17000,43,0.0802846103889518,0.371316323048902,0.331174017854426,0.0531715250844489,0.317778055798824,-0.479943742977364,6324.55532033676,-3035.43075310983,271955.878774481,63.6159736911994,"Q2",0.240634083805067,10.3472656036179
"227","Nicaragua",2000,5000000,0.706470588,3400,68,0.010035576298619,0.381351899347521,0.376334111198212,0.0106343050168898,0.328412360815714,-0.424426415127533,2236.06797749979,-949.046315671709,152052.622469986,63.1287885330967,"Q2",0.0300792604756334,2.04538971234307
"57","Chile",2000,15000000,0.75525,4000,26,0.0301067288958569,0.411458628243378,0.39640526379545,0.0125109470786939,0.340923307894408,-0.401860587228791,3872.98334620742,-1556.39936183424,100697.567001393,62.9307650175863,"Q2",0.0902377814269001,2.3461823170994
"142","El Salvador",2000,6227491,0.756818182,2200,37,0.0124992922158926,0.423957920459271,0.417708274351324,0.00688102089328162,0.347804328787689,-0.379126921743427,2495.49413944413,-946.109011316215,92333.2831594328,62.7312686649574,"Q2",0.0374636647797325,1.3861555968501
"329","Venezuela",2000,24000000,0.779036145,8300,34,0.0481707662333711,0.472128686692642,0.448043303575956,0.0259602151882898,0.373764543975979,-0.348680009226796,4898.97948556636,-1708.17621222916,166565.302509256,62.4640857067236,"Q3",0.102127659574468,3.47234042553191
"23","Bolivia",2000,8000000,0.7838,15000,184,0.0160569220777904,0.488185608770432,0.480157147731537,0.046916051545102,0.420680595521081,-0.318616601742893,2828.42712474619,-901.183838764053,520430.590953299,62.2002681474966,"Q3",0.0340425531914894,6.26382978723404
"40","Brazil",2000,174000000,0.787263636,110000,60,0.34923805519194,0.837423663962373,0.662804636366402,0.344051044664081,0.764731640185162,-0.178614462320742,13190.9059582729,-2356.08657526039,791454.357496375,60.9716974098417,"Q3",0.740425531914894,44.4255319148936
"312","Uruguay",2000,3000000,0.796296296,810,24,0.00602134577917139,0.843445009741544,0.840434336851958,0.00253346678343551,0.767265106968598,-0.0754962123337932,1732.05080756888,-130.763275541138,41569.219381653,60.0667964920768,"Q3",0.0127659574468085,0.306382978723404
"278","Peru",2000,26000000,0.8054375,48000,184,0.0521849967528187,0.895630006494363,0.869537508117953,0.150131364944326,0.917396471912924,-0.0607116796563031,5099.01951359279,-309.570039270484,938219.590501072,59.9370567302958,"Q3",0.11063829787234,20.3574468085106
"193","Honduras",2000,6000000,0.889722222,7200,116,0.0120426915583428,0.907672698052705,0.901651352273534,0.0225197047416489,0.939916176654573,-0.044961361631507,2449.48974278318,-110.132394137942,284140.810162849,59.7988418436241,"Q4",0.115384615384615,13.3846153846154
"6","Argentina",2000,37000000,0.8994,15000,40,0.0742632646097804,0.981935962662486,0.944804330357596,0.046916051545102,0.986832228199675,-0.0246581248715753,6082.76253029822,-149.989518036233,243310.501211929,59.6206734051568,"Q4",0.711538461538462,28.4615384615385
"244","Panama",2000,3000000,0.901428571,1400,47,0.00602134577917139,0.987957308441657,0.984946635552072,0.00437883147754285,0.991211059677218,-0.00658729895730097,1732.05080756888,-11.4095364786908,81406.3879557372,59.4620952004581,"Q4",0.0576923076923077,2.71153846153846
"261","Paraguay",2000,5000000,0.948461538,2600,49,0.010035576298619,0.997992884740276,0.992975096590967,0.00813211560115101,0.999343175278369,-0.00306164329590348,2236.06797749979,-6.84604253249669,109567.33089749,59.431156263421,"Q4",0.0961538461538462,4.71153846153846
"295","Trinidad and Tobago",2000,1000000,1.066666667,210,17,0.0020071152597238,1,0.998996442370138,0.000656824721631428,1,-0.00043605838239489,1000,-0.43605838239489,17000,59.4081157812736,"Q4",0.0192307692307692,0.326923076923077
