"","country","year","ir_tb","num_tb_cases","population","impwaterurban"
"3","Argentina",2009,28,11000,40023641,98.8
"7","Bolivia",2009,139,14000,9993406,95.5
"11","Brazil",2009,48,92000,193490922,99.2
"15","Chile",2009,17,2800,16991729,99.5
"19","Colombia",2009,35,16000,45802561,96.9
"23","Costa Rica",2009,13,620,4601424,99.5
"27","Cuba",2009,9.2,1000,11288826,96
"31","Dominican Republic",2009,70,6900,9884265,84.6
"35","Ecuador",2009,68,10000,14756424,90.6
"39","El Salvador",2009,32,2000,6183484,94.8
"43","Guatemala",2009,62,8700,13988988,98.3
"47","Guyana",2009,112,870,781055,96.3
"51","Haiti",2009,238,23000,9765153,76.5
"55","Honduras",2009,55,4100,7469844,96.1
"59","Mexico",2009,20,24000,116422752,95.5
"63","Nicaragua",2009,47,2700,5743329,97.6
"67","Panama",2009,55,2000,3615846,97
"71","Paraguay",2009,47,3000,6347383,98.7
"75","Peru",2009,135,39000,28934303,90.8
"79","Suriname",2009,49,260,520173,98
"83","Trinidad and Tobago",2009,22,290,1322518,97.4
"87","Uruguay",2009,24,800,3360431,99.5
"91","Venezuela",2009,33,9500,28583040,NA
