"","country","year","population","pnotified","num_tb_cases","ir_tb"
"11","Argentina",2005,39000000,0.802769231,13000,33
"28","Bolivia",2005,9000000,0.712357143,14000,158
"45","Brazil",2005,186000000,0.913231579,95000,51
"62","Chile",2005,16000000,0.797878788,3300,20
"79","Colombia",2005,43000000,0.609411765,17000,38
"96","Costa Rica",2005,4000000,0.56,1000,23
"113","Dominican Republic",2005,9000000,0.698947368,7600,82
"130","Ecuador",2005,13000000,0.437090909,11000,83
"147","El Salvador",2005,6227491,0.7625,2400,39
"164","Guatemala ",2005,13000000,0.417439024,8200,65
"181","Haiti",2005,9000000,0.57376,25000,272
"198","Honduras",2005,7000000,0.546393443,6100,89
"215","Mexico",2005,106000000,0.8305,24000,22
"232","Nicaragua",2005,5000000,0.715862069,2900,53
"249","Panama",2005,3000000,1.218666667,1500,47
"266","Paraguay",2005,6000000,0.809655172,2900,49
"283","Peru",2005,28000000,0.902948718,39000,140
"300","Trinidad and Tobago",2005,1000000,0.813636364,220,17
"317","Uruguay",2005,3000000,0.823684211,760,23
"334","Venezuela",2005,27000000,0.772222222,9000,34
