"","country","year","population","impsfac","num_tb_cases","ir_tb"
"6","Argentina",2000,37000000,74,15000,40
"23","Bolivia",2000,8000000,63,15000,184
"40","Brazil",2000,174000000,70,110000,60
"57","Chile",2000,15000000,77,4000,26
"74","Colombia",2000,40000000,71,17000,43
"91","Costa Rica",2000,4000000,78,1400,35
"108","Dominican Republic",2000,9000000,71,8600,100
"125","Ecuador",2000,12000000,74,13000,107
"142","El Salvador",2000,6227491,70,2200,37
"159","Guatemala ",2000,11000000,68,7600,68
"176","Haiti",2000,9000000,59,23000,271
"193","Honduras",2000,6000000,70,7200,116
"210","Mexico",2000,100000000,74.4,31000,31
"227","Nicaragua",2000,5000000,69.9,3400,68
"244","Panama",2000,3000000,74.3,1400,47
"261","Paraguay",2000,5000000,70.2,2600,49
"278","Peru",2000,26000000,70.6,48000,184
"295","Trinidad and Tobago",2000,1000000,68.5,210,17
"312","Uruguay",2000,3000000,74.8,810,24
"329","Venezuela",2000,24000000,72.5,8300,34
